point_id,location_name,location_type,latitude,longitude,elevation_m,terrain_classification,source
CHE-ELEV-0020,Vyasarpadi GNT Road Subway,Subway Depression,13.111,80.261,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0021,T. Nagar Usman Road Basin,Commercial Basin,13.04,80.233,15.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0022,Jafferkhanpet / Kasi Bridge,Adyar Floodplain,13.023,80.203,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0023,Kotturpuram River Corridor,Adyar Embankment,13.018,80.24,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0024,Tambaram GST Corridor,Transport Corridor,12.923,80.127,34.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0025,Kathipara Junction Guindy,Major Grade Separator,13.007,80.205,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0026,Koyambedu CMBT,Central Bus Terminal,13.069,80.194,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0027,Chennai Central / Ripon Building,Civic Headquarters,13.083,80.275,8.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0028,Marina Beach Promenade,Coastal Ridge,13.05,80.283,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0029,Ennore Creek North,Estuarine Basin,13.22,80.32,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0030,Porur Lake Surplus Channel,Lake Buffer,13.033,80.158,20.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0031,Grid_Sample_001,Topographic Grid,12.86,80.12,28.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0032,Grid_Sample_002,Topographic Grid,12.86,80.145,22.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0033,Grid_Sample_003,Topographic Grid,12.86,80.17,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0034,Grid_Sample_004,Topographic Grid,12.86,80.195,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0035,Grid_Sample_005,Topographic Grid,12.86,80.22,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0036,Grid_Sample_006,Topographic Grid,12.86,80.245,6.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0037,Grid_Sample_007,Topographic Grid,12.86,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0038,Grid_Sample_008,Topographic Grid,12.86,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0039,Grid_Sample_009,Topographic Grid,12.885,80.12,23.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0040,Grid_Sample_010,Topographic Grid,12.885,80.145,18.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0041,Grid_Sample_011,Topographic Grid,12.885,80.17,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0042,Grid_Sample_012,Topographic Grid,12.885,80.195,70.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0043,Grid_Sample_013,Topographic Grid,12.885,80.22,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0044,Grid_Sample_014,Topographic Grid,12.885,80.245,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0045,Grid_Sample_015,Topographic Grid,12.885,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0046,Grid_Sample_016,Topographic Grid,12.885,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0047,Grid_Sample_017,Topographic Grid,12.91,80.12,34.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0048,Grid_Sample_018,Topographic Grid,12.91,80.145,29.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0049,Grid_Sample_019,Topographic Grid,12.91,80.17,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0050,Grid_Sample_020,Topographic Grid,12.91,80.195,18.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0051,Grid_Sample_021,Topographic Grid,12.91,80.22,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0052,Grid_Sample_022,Topographic Grid,12.91,80.245,1.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0053,Grid_Sample_023,Topographic Grid,12.91,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0054,Grid_Sample_024,Topographic Grid,12.91,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0055,Grid_Sample_025,Topographic Grid,12.935,80.12,26.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0056,Grid_Sample_026,Topographic Grid,12.935,80.145,26.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0057,Grid_Sample_027,Topographic Grid,12.935,80.17,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0058,Grid_Sample_028,Topographic Grid,12.935,80.195,8.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0059,Grid_Sample_029,Topographic Grid,12.935,80.22,2.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0060,Grid_Sample_030,Topographic Grid,12.935,80.245,2.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0061,Grid_Sample_031,Topographic Grid,12.935,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0062,Grid_Sample_032,Topographic Grid,12.935,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0063,Grid_Sample_033,Topographic Grid,12.96,80.12,20.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0064,Grid_Sample_034,Topographic Grid,12.96,80.145,26.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0065,Grid_Sample_035,Topographic Grid,12.96,80.17,23.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0066,Grid_Sample_036,Topographic Grid,12.96,80.195,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0067,Grid_Sample_037,Topographic Grid,12.96,80.22,5.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0068,Grid_Sample_038,Topographic Grid,12.96,80.245,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0069,Grid_Sample_039,Topographic Grid,12.96,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0070,Grid_Sample_040,Topographic Grid,12.96,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0071,Grid_Sample_041,Topographic Grid,12.985,80.12,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0072,Grid_Sample_042,Topographic Grid,12.985,80.145,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0073,Grid_Sample_043,Topographic Grid,12.985,80.17,23.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0074,Grid_Sample_044,Topographic Grid,12.985,80.195,14.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0075,Grid_Sample_045,Topographic Grid,12.985,80.22,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0076,Grid_Sample_046,Topographic Grid,12.985,80.245,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0077,Grid_Sample_047,Topographic Grid,12.985,80.27,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0078,Grid_Sample_048,Topographic Grid,12.985,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0079,Grid_Sample_049,Topographic Grid,13.01,80.12,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0080,Grid_Sample_050,Topographic Grid,13.01,80.145,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0081,Grid_Sample_051,Topographic Grid,13.01,80.17,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0082,Grid_Sample_052,Topographic Grid,13.01,80.195,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0083,Grid_Sample_053,Topographic Grid,13.01,80.22,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0084,Grid_Sample_054,Topographic Grid,13.01,80.245,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0085,Grid_Sample_055,Topographic Grid,13.01,80.27,8.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0086,Grid_Sample_056,Topographic Grid,13.01,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0087,Grid_Sample_057,Topographic Grid,13.035,80.12,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0088,Grid_Sample_058,Topographic Grid,13.035,80.145,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0089,Grid_Sample_059,Topographic Grid,13.035,80.17,20.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0090,Grid_Sample_060,Topographic Grid,13.035,80.195,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0091,Grid_Sample_061,Topographic Grid,13.035,80.22,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0092,Grid_Sample_062,Topographic Grid,13.035,80.245,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0093,Grid_Sample_063,Topographic Grid,13.035,80.27,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0094,Grid_Sample_064,Topographic Grid,13.035,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0095,Grid_Sample_065,Topographic Grid,13.06,80.12,19.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0096,Grid_Sample_066,Topographic Grid,13.06,80.145,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0097,Grid_Sample_067,Topographic Grid,13.06,80.17,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0098,Grid_Sample_068,Topographic Grid,13.06,80.195,15.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0099,Grid_Sample_069,Topographic Grid,13.06,80.22,14.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0100,Grid_Sample_070,Topographic Grid,13.06,80.245,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0101,Grid_Sample_071,Topographic Grid,13.06,80.27,14.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0102,Grid_Sample_072,Topographic Grid,13.06,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0103,Grid_Sample_073,Topographic Grid,13.085,80.12,19.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0104,Grid_Sample_074,Topographic Grid,13.085,80.145,19.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0105,Grid_Sample_075,Topographic Grid,13.085,80.17,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0106,Grid_Sample_076,Topographic Grid,13.085,80.195,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0107,Grid_Sample_077,Topographic Grid,13.085,80.22,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0108,Grid_Sample_078,Topographic Grid,13.085,80.245,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0109,Grid_Sample_079,Topographic Grid,13.085,80.27,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0110,Grid_Sample_080,Topographic Grid,13.085,80.295,0.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0111,Grid_Sample_081,Topographic Grid,13.11,80.12,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0112,Grid_Sample_082,Topographic Grid,13.11,80.145,17.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0113,Grid_Sample_083,Topographic Grid,13.11,80.17,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0114,Grid_Sample_084,Topographic Grid,13.11,80.195,14.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0115,Grid_Sample_085,Topographic Grid,13.11,80.22,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0116,Grid_Sample_086,Topographic Grid,13.11,80.245,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0117,Grid_Sample_087,Topographic Grid,13.11,80.27,3.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0118,Grid_Sample_088,Topographic Grid,13.11,80.295,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0119,Grid_Sample_089,Topographic Grid,13.135,80.12,22.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0120,Grid_Sample_090,Topographic Grid,13.135,80.145,16.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0121,Grid_Sample_091,Topographic Grid,13.135,80.17,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0122,Grid_Sample_092,Topographic Grid,13.135,80.195,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0123,Grid_Sample_093,Topographic Grid,13.135,80.22,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0124,Grid_Sample_094,Topographic Grid,13.135,80.245,8.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0125,Grid_Sample_095,Topographic Grid,13.135,80.27,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0126,Grid_Sample_096,Topographic Grid,13.135,80.295,12.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0127,Grid_Sample_097,Topographic Grid,13.16,80.12,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0128,Grid_Sample_098,Topographic Grid,13.16,80.145,24.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0129,Grid_Sample_099,Topographic Grid,13.16,80.17,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0130,Grid_Sample_100,Topographic Grid,13.16,80.195,21.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0131,Grid_Sample_101,Topographic Grid,13.16,80.22,6.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0132,Grid_Sample_102,Topographic Grid,13.16,80.245,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0133,Grid_Sample_103,Topographic Grid,13.16,80.27,5.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0134,Grid_Sample_104,Topographic Grid,13.16,80.295,10.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0135,Grid_Sample_105,Topographic Grid,13.185,80.12,41.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0136,Grid_Sample_106,Topographic Grid,13.185,80.145,24.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0137,Grid_Sample_107,Topographic Grid,13.185,80.17,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0138,Grid_Sample_108,Topographic Grid,13.185,80.195,9.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0139,Grid_Sample_109,Topographic Grid,13.185,80.22,5.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0140,Grid_Sample_110,Topographic Grid,13.185,80.245,7.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0141,Grid_Sample_111,Topographic Grid,13.185,80.27,4.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0142,Grid_Sample_112,Topographic Grid,13.185,80.295,2.0,Critical Low Basin (<4m) - Highest Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0143,Grid_Sample_113,Topographic Grid,13.21,80.12,23.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0144,Grid_Sample_114,Topographic Grid,13.21,80.145,23.0,Mid Elevation Plain (15-25m) - Low Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0145,Grid_Sample_115,Topographic Grid,13.21,80.17,13.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0146,Grid_Sample_116,Topographic Grid,13.21,80.195,11.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0147,Grid_Sample_117,Topographic Grid,13.21,80.22,8.0,Coastal / Fluvial Terrace (8-15m) - Moderate Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0148,Grid_Sample_118,Topographic Grid,13.21,80.245,5.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0149,Grid_Sample_119,Topographic Grid,13.21,80.27,5.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0150,Grid_Sample_120,Topographic Grid,13.21,80.295,4.0,Low-Lying Plain (4-8m) - High Risk,Copernicus GLO-90 DEM (Open-Meteo)
CHE-ELEV-0151,Grid_Sample_121,Topographic Grid,13.235,80.12,32.0,Elevated Ridge / Upland (>25m) - Minimal Risk,Copernicus GLO-90 DEM (Open-Meteo)
