road_id,osm_way_id,edge_id,start_node_id,end_node_id,node_degree,length_m,event_date,event_name,rain_3h,rain_24h,elevation,slope,hand,dist_to_drain_m,flow_accumulation,catchment_km2,twi,drainage_density,dist_to_water_body_m,nearest_water_body_name,nearest_water_body_type,built_up,flood_history,target,data_limited,road_name,highway_type,lat,lon,geometry
road-22965414,22965414,edge-22965414-310505822-310505815,node-310505822,node-310505815,2,349.48,2015-12-01,December 2015 Flood,161.0,460.0,7.22,0.2936,-0.98,471.4,28.0,21.0609,17.0,451.1981,135.4,Kandaswami Muthukumaraswami Koil Kulam,pond,18,0,0,0,Evening Bazaar Road,secondary,13.085082672727271,80.27967736363637,POINT (80.279677 13.085083)
road-22976125,22976125,edge-22976125-246825437-30051249,node-246825437,node-30051249,3,474.74,2015-12-01,December 2015 Flood,172.9,494.0,11.06,0.1342,0.46,626.2,25.0,18.8044,16.89,0.0,1062.2,Unnamed Pond (wb-way-112644675),pond,14,0,0,0,Pasumpon Muthuramalingar Thevar Salai,secondary,13.02795185,80.25150039,POINT (80.251500 13.027952)
road-22976288,22976288,edge-22976288-1975496454-1975496644,node-1975496454,node-1975496644,3,741.29,2015-12-01,December 2015 Flood,172.9,494.0,13.91,0.1216,2.71,521.6,24.0,18.0522,16.85,214.7589,232.3,Agathishwara Perumal Koil Kulam,pond,8,2,1,0,Tank Bund Road,secondary,13.058796336363635,80.24018353181818,POINT (80.240184 13.058796)
road-22976312,22976312,edge-22976312-13848420368-248680296,node-13848420368,node-248680296,3,215.82,2015-12-01,December 2015 Flood,172.9,494.0,13.24,0.11,2.04,158.7,24.0,18.0522,16.85,1171.9518,197.6,Unnamed Reservoir (wb-way-217688012),reservoir,21,1,0,0,McNichols Road,primary,13.064781025,80.24352745,POINT (80.243527 13.064781)
road-22976925,22976925,edge-22976925-245578181-247684974,node-245578181,node-247684974,3,185.96,2015-12-01,December 2015 Flood,172.9,494.0,13.13,0.1216,1.93,360.6,25.0,18.8044,16.89,940.1652,48.2,Unnamed Pond (wb-way-459809120),pond,52,0,0,0,Unnamed Road,primary_link,13.050931854545455,80.25041015454545,POINT (80.250410 13.050932)
road-22977024,22977024,edge-22977024-247686096-309196366,node-247686096,node-309196366,4,191.02,2015-12-01,December 2015 Flood,172.9,494.0,13.0,0.1216,1.8,565.9,25.0,18.8044,16.89,0.0,172.9,Unnamed Pond (wb-way-459809124),pond,51,0,0,0,Unnamed Road,primary_link,13.05293842,80.25162712,POINT (80.251627 13.052938)
road-22977044,22977044,edge-22977044-302897298-302897388,node-302897298,node-302897388,3,858.98,2015-12-01,December 2015 Flood,172.9,494.0,12.97,0.1216,1.77,696.0,25.0,18.8044,16.89,0.0,96.8,Unnamed Pond (wb-way-1321929235),pond,4,0,0,0,Cathedral Road,primary,13.049029789473684,80.25357120000001,POINT (80.253571 13.049030)
road-22977045,22977045,edge-22977045-247686096-247686447,node-247686096,node-247686447,4,114.95,2015-12-01,December 2015 Flood,172.9,494.0,12.98,0.1216,1.78,475.1,25.0,18.8044,16.89,7.6617,85.5,Unnamed Pond (wb-way-459809124),pond,52,0,0,0,Unnamed Road,primary_link,13.05215065,80.251015775,POINT (80.251016 13.052151)
road-22977106,22977106,edge-22977106-309196366-30037891,node-309196366,node-30037891,3,745.18,2015-12-01,December 2015 Flood,172.9,494.0,13.08,0.1216,3.08,687.6,25.0,18.8044,16.89,0.0,583.9,Unnamed Pond (wb-way-459809124),pond,16,0,0,0,Anna Salai (Mount Road),primary,13.05532168095238,80.25488246190476,POINT (80.254882 13.055322)
road-22977109,22977109,edge-22977109-30037868-9412787735,node-30037868,node-9412787735,2,442.62,2015-12-01,December 2015 Flood,172.9,494.0,11.34,0.1468,-1.06,264.4,22.0,16.5479,16.76,245.0794,581.0,Karaneeswarar Temple Tank,reservoir,4,1,1,0,Anna Salai (Mount Road),primary,13.020114905,80.2249428,POINT (80.224943 13.020115)
road-22977127,22977127,edge-22977127-309196369-302897298,node-309196369,node-302897298,3,238.19,2015-12-01,December 2015 Flood,172.9,494.0,12.99,0.1216,1.79,555.1,25.0,18.8044,16.89,0.0,131.3,Unnamed Pond (wb-way-459809124),pond,51,0,0,0,Unnamed Road,primary_link,13.0525375125,80.2516726125,POINT (80.251673 13.052538)
road-22977180,22977180,edge-22977180-247687820-247687711,node-247687820,node-247687711,3,13.91,2015-12-01,December 2015 Flood,172.9,494.0,13.0,0.1342,3.0,718.6,26.0,19.5566,16.93,0.0,889.3,Balasubramani Temple Tank,pond,28,0,0,0,Alwarpet Flyover,secondary,13.0354652,80.25700505,POINT (80.257005 13.035465)
road-22977209,22977209,edge-22977209-1685049660-12717801276,node-1685049660,node-12717801276,2,250.34,2015-12-01,December 2015 Flood,172.9,494.0,12.94,0.3513,3.54,1121.6,26.0,19.5566,16.93,0.0,975.9,Unnamed Pond (wb-way-1321929236),pond,28,0,0,0,TTK Road,secondary,13.041989757142858,80.25901427142857,POINT (80.259014 13.041990)
road-22977218,22977218,edge-22977218-247688231-247688244,node-247688231,node-247688244,4,26.3,2015-12-01,December 2015 Flood,172.9,494.0,12.91,0.1216,2.91,819.1,26.0,19.5566,16.93,0.0,894.6,Unnamed Pond (wb-way-208578468),pond,30,0,0,0,Unnamed Road,secondary_link,13.038613699999999,80.2590933,POINT (80.259093 13.038614)
road-22977308,22977308,edge-22977308-30051696-30051765,node-30051696,node-30051765,4,222.22,2015-12-01,December 2015 Flood,172.9,494.0,12.97,0.1342,2.97,912.3,25.0,18.8044,16.89,0.0,673.2,Balasubramani Temple Tank,pond,17,0,0,0,T T Krishnamachari Road,secondary,13.035783219999999,80.25498008,POINT (80.254980 13.035783)
road-22977703,22977703,edge-22977703-247692044-2214509243,node-247692044,node-2214509243,2,260.35,2015-12-01,December 2015 Flood,172.9,494.0,7.04,0.3513,-1.16,126.4,28.0,21.0609,17.0,2434.1329,283.9,Unnamed Pond (wb-way-1080599120),pond,8,0,0,0,Wallajah Road,secondary,13.06445484,80.27958492,POINT (80.279585 13.064455)
road-22977706,22977706,edge-22977706-247691972-247692044,node-247691972,node-247692044,2,25.02,2015-12-01,December 2015 Flood,172.9,494.0,6.65,0.3513,-1.55,12.1,29.0,21.8131,17.04,2434.1329,195.7,Unnamed Pond (wb-way-1080599120),pond,8,0,0,0,Unnamed Road,secondary,13.0642383,80.28085265,POINT (80.280853 13.064238)
road-22979938,22979938,edge-22979938-247714030-2241058223,node-247714030,node-2241058223,4,87.69,2015-12-01,December 2015 Flood,172.9,494.0,13.21,0.2022,-0.99,590.6,20.0,15.0435,16.67,0.0,698.5,Unnamed Reservoir (wb-way-1128384521),reservoir,19,0,0,0,Unnamed Road,secondary,13.009220733333331,80.21136643333334,POINT (80.211366 13.009221)
road-22979972,22979972,edge-22979972-343711369-9885084116,node-343711369,node-9885084116,4,133.52,2015-12-01,December 2015 Flood,172.9,494.0,12.47,0.1468,-0.53,267.4,21.0,15.7957,16.72,14893.0763,441.5,Prasanna Venkatesa Perumal Koil Kulam,pond,4,1,1,0,Alandur Road,secondary,13.018859025000001,80.219174025,POINT (80.219174 13.018859)
road-22979975,22979975,edge-22979975-247714027-247714030,node-247714027,node-247714030,4,126.43,2015-12-01,December 2015 Flood,172.9,494.0,13.32,0.2022,-0.88,520.1,20.0,15.0435,16.67,0.0,766.1,Unnamed Reservoir (wb-way-1128384521),reservoir,17,0,0,0,Alandur Road,secondary,13.00902715,80.21066795,POINT (80.210668 13.009027)
road-23001375,23001375,edge-23001375-243323151-1183259303,node-243323151,node-1183259303,4,365.73,2015-12-01,December 2015 Flood,172.9,494.0,11.92,0.194,1.92,128.4,26.0,19.5566,16.93,0.0,458.8,Unnamed Pond (wb-way-208578468),pond,10,0,0,0,St. Mary's Road,secondary,13.029542188235293,80.26233626470588,POINT (80.262336 13.029542)
road-23001376,23001376,edge-23001376-243323151-243064550,node-243323151,node-243064550,5,261.05,2015-12-01,December 2015 Flood,172.9,494.0,11.96,0.2625,1.96,398.2,27.0,20.3088,16.97,0.0,393.1,Unnamed Pond (wb-way-208578468),pond,13,0,0,0,St. Mary's Road,secondary,13.029336079999998,80.2652043,POINT (80.265204 13.029336)
road-23019250,23019250,edge-23019250-243066056-247690631,node-243066056,node-247690631,8,909.28,2015-12-01,December 2015 Flood,172.9,494.0,9.55,0.3513,1.35,691.1,28.0,21.0609,17.0,0.0,541.4,Parthasarathy Temple Pond,pond,1,0,0,0,Triplicane High Road,secondary,13.056870454545454,80.27398876363635,POINT (80.273989 13.056870)
road-23025132,23025132,edge-23025132-270432733-248332846,node-270432733,node-248332846,3,480.12,2015-12-01,December 2015 Flood,172.9,494.0,5.19,0.3513,-3.01,134.2,29.0,21.8131,17.04,594.0019,240.5,Unnamed Pond (wb-way-1131700757),pond,6,0,0,0,Rajaji Salai,primary,13.071857182352941,80.2850452,POINT (80.285045 13.071857)
road-23025136,23025136,edge-23025136-258987176-10536336507,node-258987176,node-10536336507,4,1073.93,2015-12-01,December 2015 Flood,161.0,460.0,4.35,0.3513,-3.85,7.7,29.0,21.8131,17.04,2245.9642,423.4,Unnamed Pond (wb-way-241414216),pond,4,0,0,0,Rajaji Salai,primary,13.077205806060606,80.28726342424243,POINT (80.287263 13.077206)
road-23030545,23030545,edge-23030545-14162060674-248467460,node-14162060674,node-248467460,4,281.21,2015-12-01,December 2015 Flood,172.9,494.0,12.12,0.2936,2.12,79.3,26.0,19.5566,16.93,0.0,1319.1,Unnamed Reservoir (wb-way-211774108),reservoir,23,0,0,0,Rukmani Lakshmipathi Road,secondary,13.06519678181818,80.26037469090909,POINT (80.260375 13.065197)
road-23030618,23030618,edge-23030618-248468930-9189193690,node-248468930,node-9189193690,2,262.99,2015-12-01,December 2015 Flood,172.9,494.0,12.44,0.2936,1.84,379.5,26.0,19.5566,16.93,0.0,1409.9,Unnamed Reservoir (wb-way-214698656),reservoir,38,0,0,0,Montieth Road,secondary,13.06873714,80.25763294666667,POINT (80.257633 13.068737)
road-23030621,23030621,edge-23030621-248468933-248467716,node-248468933,node-248467716,5,336.79,2015-12-01,December 2015 Flood,172.9,494.0,12.34,0.2936,1.74,259.0,25.0,18.8044,16.89,0.0,1463.8,Chetpet Lake,lake,47,0,0,0,Casa Major Road,secondary,13.07008845,80.254930825,POINT (80.254931 13.070088)
road-23030808,23030808,edge-23030808-248467808-10069835041,node-248467808,node-10069835041,6,151.61,2015-12-01,December 2015 Flood,172.9,494.0,12.16,0.2936,1.56,15.8,25.0,18.8044,16.89,1874.6257,1102.8,Chetpet Lake,lake,27,0,0,0,Gengu Reddy Road,secondary,13.0733871875,80.252493925,POINT (80.252494 13.073387)
road-23030841,23030841,edge-23030841-10269961847-11722109036,node-10269961847,node-11722109036,2,70.59,2015-12-01,December 2015 Flood,172.9,494.0,10.35,0.3513,0.95,29.3,27.0,20.3088,16.97,0.0,661.8,Unnamed Reservoir (wb-way-211774108),reservoir,37,0,0,0,Harris Bridge,secondary,13.0684382,80.2689547,POINT (80.268955 13.068438)
road-23046401,23046401,edge-23046401-243066056-1183471421,node-243066056,node-1183471421,8,584.87,2015-12-01,December 2015 Flood,172.9,494.0,7.12,0.3513,-1.68,279.7,28.0,21.0609,17.0,0.0,270.8,Parthasarathy Temple Pond,pond,3,0,0,0,Besant Road,secondary,13.05178655,80.27653619375,POINT (80.276536 13.051787)
road-23046402,23046402,edge-23046402-310728681-243066056,node-310728681,node-243066056,8,1050.23,2015-12-01,December 2015 Flood,172.9,494.0,7.72,0.3513,-1.08,380.4,28.0,21.0609,17.0,0.0,712.5,Parthasarathy Temple Pond,pond,1,0,0,0,Dr Natesan Road,secondary,13.048419976470587,80.27437065,POINT (80.274371 13.048420)
road-23046726,23046726,edge-23046726-248680316-248680323,node-248680316,node-248680323,3,39.03,2015-12-01,December 2015 Flood,172.9,494.0,14.23,0.11,2.43,393.4,23.0,17.3001,16.81,0.0,707.8,Agathishwara Perumal Koil Kulam,pond,17,2,1,0,Unnamed Road,secondary_link,13.062852966666668,80.23604776666667,POINT (80.236048 13.062853)
road-23046730,23046730,edge-23046730-2800814643-248680309,node-2800814643,node-248680309,2,772.0,2015-12-01,December 2015 Flood,172.9,494.0,13.4,0.11,1.6,173.0,23.0,17.3001,16.81,214.7589,470.1,Unnamed Reservoir (wb-way-217688012),reservoir,6,1,1,0,Sterling Road,secondary,13.065000985714287,80.2392262642857,POINT (80.239226 13.065001)
road-23047576,23047576,edge-23047576-249798420-11634160744,node-249798420,node-11634160744,4,614.49,2015-12-01,December 2015 Flood,172.9,494.0,11.9,0.1668,1.9,284.2,26.0,19.5566,16.93,0.0,1024.4,Unnamed Pond (wb-way-112644675),pond,11,0,0,0,RA Puram 2nd Main Road,secondary,13.027093853846155,80.25718416923077,POINT (80.257184 13.027094)
road-23066164,23066164,edge-23066164-4462321221-248467786,node-4462321221,node-248467786,4,72.87,2015-12-01,December 2015 Flood,172.9,494.0,12.1,0.2936,1.5,57.9,25.0,18.8044,16.89,1874.6257,1062.6,Chetpet Lake,lake,24,0,0,0,Gengu Reddy Road,secondary,13.074353766666666,80.25225893333332,POINT (80.252259 13.074354)
road-23066181,23066181,edge-23066181-2487062535-12049174138,node-2487062535,node-12049174138,5,516.74,2015-12-01,December 2015 Flood,172.9,494.0,12.23,0.2936,1.63,360.2,25.0,18.8044,16.89,0.0,1400.6,Gangadeeshwarar Koil Kulam,pond,38,0,0,0,Halls Road,secondary,13.072626961538463,80.25557696153845,POINT (80.255577 13.072627)
road-23075455,23075455,edge-23075455-2212827710-9593473427,node-2212827710,node-9593473427,3,344.4,2015-12-01,December 2015 Flood,172.9,494.0,12.37,0.11,1.17,516.8,24.0,18.0522,16.85,0.0,217.0,Chetpet Lake,lake,22,0,0,0,Unnamed Road,primary,13.07563905,80.24053016666666,POINT (80.240530 13.075639)
road-23075542,23075542,edge-23075542-248551226-247686092,node-248551226,node-247686092,3,477.53,2015-12-01,December 2015 Flood,172.9,494.0,12.97,0.1216,1.77,598.6,25.0,18.8044,16.89,0.0,111.6,Unnamed Pond (wb-way-1321929235),pond,35,0,0,0,Cathedral Road,primary,13.050005142857144,80.25274474285713,POINT (80.252745 13.050005)
road-23075555,23075555,edge-23075555-247686092-247686556,node-247686092,node-247686556,3,298.69,2015-12-01,December 2015 Flood,172.9,494.0,13.13,0.1216,1.93,371.8,25.0,18.8044,16.89,940.1652,39.3,Unnamed Pond (wb-way-459809120),pond,52,0,0,0,Unnamed Road,primary_link,13.050910129411765,80.25052488823529,POINT (80.250525 13.050910)
road-23092109,23092109,edge-23092109-12896077106-12896077106,node-12896077106,node-12896077106,2,127.31,2015-12-01,December 2015 Flood,171.5,490.0,24.77,0.2986,-3.23,476.6,1.0,0.7522,11.74,0.0,671.3,Unnamed Reservoir (wb-way-30118530),reservoir,17,0,0,0,MIT Flyover,trunk,12.94702802173913,80.13688916956521,POINT (80.136889 12.947028)
road-23092110,23092110,edge-23092110-249269180-249269117,node-249269180,node-249269117,2,28.27,2015-12-01,December 2015 Flood,171.5,490.0,24.79,0.2986,-12.21,602.8,1.0,0.7522,11.74,0.0,790.8,Unnamed Reservoir (wb-way-30118530),reservoir,11,0,0,0,MIT Flyover Ramp,trunk_link,12.949217500000001,80.13863126666666,POINT (80.138631 12.949218)
road-23092112,23092112,edge-23092112-248766992-331888748,node-248766992,node-331888748,2,291.41,2015-12-01,December 2015 Flood,171.5,490.0,24.78,0.2986,-3.22,466.3,1.0,0.7522,11.74,0.0,678.1,Unnamed Reservoir (wb-way-30118530),reservoir,13,0,0,0,MIT Flyover Ramp,trunk,12.9458157,80.13614605000001,POINT (80.136146 12.945816)
road-23092113,23092113,edge-23092113-249269160-249269126,node-249269160,node-249269126,3,17.37,2015-12-01,December 2015 Flood,171.5,490.0,24.77,0.2986,-3.23,466.2,2.0,1.5044,12.17,0.0,678.2,Unnamed Reservoir (wb-way-30118530),reservoir,11,0,0,0,MIT Flyover Ramp,trunk_link,12.94479695,80.1350258,POINT (80.135026 12.944797)
road-23092115,23092115,edge-23092115-249269114-331888109,node-249269114,node-331888109,2,289.52,2015-12-01,December 2015 Flood,171.5,490.0,24.76,0.2986,-12.24,525.7,1.0,0.7522,11.74,0.0,700.9,Unnamed Reservoir (wb-way-30118530),reservoir,15,0,0,0,MIT Flyover Ramp,trunk_link,12.948416199999999,80.1376777,POINT (80.137678 12.948416)
road-23110060,23110060,edge-23110060-249497661-307072065,node-249497661,node-307072065,5,177.83,2015-12-01,December 2015 Flood,172.9,494.0,12.58,0.2731,2.58,876.8,26.0,19.5566,16.93,0.0,1056.3,Unnamed Pond (wb-way-379699515),pond,30,0,0,0,Adyar Flyover,secondary,13.006175733333334,80.25750048333333,POINT (80.257500 13.006176)
road-23110061,23110061,edge-23110061-249497698-12156971222,node-249497698,node-12156971222,4,294.18,2015-12-01,December 2015 Flood,172.9,494.0,12.52,0.2731,2.52,850.0,26.0,19.5566,16.93,0.0,992.7,Unnamed Pond (wb-way-211900069),pond,29,0,0,0,Sardar Patel Road,primary,13.006548800000001,80.25675108571428,POINT (80.256751 13.006549)
road-23110065,23110065,edge-23110065-10970819047-249497720,node-10970819047,node-249497720,2,341.13,2015-12-01,December 2015 Flood,172.9,494.0,10.28,0.194,0.28,120.9,26.0,19.5566,16.93,0.0,570.4,Whale Island,wetland,8,0,0,0,Thiru Vi Ka Bridge,primary,13.01317835,80.2592386,POINT (80.259239 13.013178)
