edge_id,osm_way_id,start_node_id,end_node_id,name,highway,length_m,lanes,oneway,node_count,start_lat,start_lon,end_lat,end_lon
edge-22977218-247688231-247688244,22977218,node-247688231,node-247688244,Unnamed Road,secondary_link,26.3,,no,3,13.0387272,80.2591169,13.0384952,80.25907
edge-22977308-30051696-30051765,22977308,node-30051696,node-30051765,T T Krishnamachari Road,secondary,222.22,,yes,5,13.0350631,80.254416,13.0366765,80.2556236
edge-22977703-247692044-2214509243,22977703,node-247692044,node-2214509243,Wallajah Road,secondary,260.35,,yes,5,13.0642286,80.2807376,13.0647211,80.2783934
edge-22977706-247691972-247692044,22977706,node-247691972,node-247692044,Unnamed Road,secondary,25.02,,yes,2,13.064248,80.2809677,13.0642286,80.2807376
edge-22979938-247714030-2241058223,22979938,node-247714030,node-2241058223,Unnamed Road,secondary,87.69,,yes,3,13.009488,80.2110096,13.0090089,80.2116525
edge-22979972-343711369-9885084116,22979972,node-343711369,node-9885084116,Alandur Road,secondary,133.52,,no,4,13.0193299,80.2195154,13.0183734,80.218775
edge-22979975-247714027-247714030,22979975,node-247714027,node-247714030,Alandur Road,secondary,126.43,,yes,2,13.0085663,80.2103263,13.009488,80.2110096
edge-23001375-243323151-1183259303,23001375,node-243323151,node-1183259303,St. Mary's Road,secondary,365.73,,no,17,13.029395,80.2640795,13.0291744,80.261093
edge-23001376-243323151-243064550,23001376,node-243323151,node-243064550,St. Mary's Road,secondary,261.05,,yes,10,13.029395,80.2640795,13.0292597,80.2664844
edge-23019250-243066056-247690631,23019250,node-243066056,node-247690631,Triplicane High Road,secondary,909.28,,no,22,13.0527706,80.2737522,13.0609158,80.274329
edge-23025132-270432733-248332846,23025132,node-270432733,node-248332846,Rajaji Salai,primary,480.12,,yes,17,13.0694636,80.2845626,13.0736861,80.2853397
edge-23025136-258987176-10536336507,23025136,node-258987176,node-10536336507,Rajaji Salai,primary,1073.93,,yes,33,13.0827928,80.2891572,13.0736986,80.2860363
edge-23030545-14162060674-248467460,23030545,node-14162060674,node-248467460,Rukmani Lakshmipathi Road,secondary,281.21,2,no,11,13.066313,80.2606072,13.0638675,80.2599927
edge-23030618-248468930-9189193690,23030618,node-248468930,node-9189193690,Montieth Road,secondary,262.99,,yes,15,13.0695183,80.2567411,13.0679279,80.2585071
edge-23030621-248468933-248467716,23030621,node-248468933,node-248467716,Casa Major Road,secondary,336.79,,no,8,13.0687966,80.2560539,13.0710827,80.2540178
edge-23030808-248467808-10069835041,23030808,node-248467808,node-10069835041,Gengu Reddy Road,secondary,151.61,,yes,8,13.0739651,80.252516,13.0726142,80.2524115
edge-23030841-10269961847-11722109036,23030841,node-10269961847,node-11722109036,Harris Bridge,secondary,70.59,2,yes,2,13.0685231,80.2686407,13.0683533,80.2692687
edge-23046401-243066056-1183471421,23046401,node-243066056,node-1183471421,Besant Road,secondary,584.87,,no,16,13.0527706,80.2737522,13.050938,80.2788096
edge-23046402-310728681-243066056,23046402,node-310728681,node-243066056,Dr Natesan Road,secondary,1050.23,,no,34,13.043454,80.2742963,13.0527706,80.2737522
edge-23046726-248680316-248680323,23046726,node-248680316,node-248680323,Unnamed Road,secondary_link,39.03,1,yes,3,13.0629321,80.2361806,13.0628176,80.2358816
edge-23046730-2800814643-248680309,23046730,node-2800814643,node-248680309,Sterling Road,secondary,772.0,1,yes,14,13.0657283,80.2433294,13.0643375,80.2363844
edge-23047576-249798420-11634160744,23047576,node-249798420,node-11634160744,RA Puram 2nd Main Road,secondary,614.49,,no,13,13.0271317,80.2543568,13.0270922,80.2600273
edge-23066164-4462321221-248467786,23066164,node-4462321221,node-248467786,Gengu Reddy Road,secondary,72.87,,yes,6,13.0740496,80.2523215,13.074681,80.252256
edge-23066181-2487062535-12049174138,23066181,node-2487062535,node-12049174138,Halls Road,secondary,516.74,,no,13,13.0745092,80.257504,13.0712306,80.2541266
edge-23075455-2212827710-9593473427,23075455,node-2212827710,node-9593473427,Unnamed Road,primary,344.4,,yes,6,13.0738862,80.2405428,13.0769731,80.2405962
edge-23075542-248551226-247686092,23075542,node-248551226,node-247686092,Cathedral Road,primary,477.53,,yes,14,13.0484677,80.2536651,13.0519536,80.251161
edge-23075555-247686092-247686556,23075555,node-247686092,node-247686556,Unnamed Road,primary_link,298.69,,yes,17,13.0519536,80.251161,13.0498371,80.2499002
edge-23092109-12896077106-12896077106,23092109,node-12896077106,node-12896077106,MIT Flyover,trunk,127.31,,yes,23,12.9469728,80.1367162,12.9469728,80.1367162
edge-23092110-249269180-249269117,23092110,node-249269180,node-249269117,MIT Flyover Ramp,trunk_link,28.27,1,yes,3,12.9493249,80.1386465,12.9490968,80.1385806
edge-23092112-248766992-331888748,23092112,node-248766992,node-331888748,MIT Flyover Ramp,trunk,291.41,,yes,2,12.9468611,80.1369567,12.9447703,80.1353354
edge-23092113-249269160-249269126,23092113,node-249269160,node-249269126,MIT Flyover Ramp,trunk_link,17.37,,yes,2,12.944719,80.1350306,12.9448749,80.135021
edge-23092115-249269114-331888109,23092115,node-249269114,node-331888109,MIT Flyover Ramp,trunk_link,289.52,,yes,3,12.9471876,80.1367927,12.949312,80.1383367
edge-23110060-249497661-307072065,23110060,node-249497661,node-307072065,Adyar Flyover,secondary,177.83,,yes,6,13.0067676,80.2577905,13.0052844,80.2572671
edge-23110061-249497698-12156971222,23110061,node-249497698,node-12156971222,Sardar Patel Road,primary,294.18,,yes,7,13.0066539,80.2577917,13.0065443,80.2551166
edge-23110065-10970819047-249497720,23110065,node-10970819047,node-249497720,Thiru Vi Ka Bridge,primary,341.13,3,yes,2,13.0147115,80.2592891,13.0116452,80.2591881
edge-23110067-12156971224-249497688,23110067,node-12156971224,node-249497688,Sardar Patel Road,primary,229.72,,yes,7,13.0107556,80.2591859,13.0087027,80.2591946
edge-23110068-249497692-13748472411,23110068,node-249497692,node-13748472411,Unnamed Road,secondary,33.6,,yes,2,13.007651,80.2594277,13.0074287,80.2596378
edge-23110071-249497719-243051714,23110071,node-249497719,node-243051714,Thiru Vi Ka Bridge,primary,341.06,3,yes,2,13.0116503,80.2590537,13.0147153,80.2591725
edge-23110072-243051711-249497690,23110072,node-243051711,node-249497690,Unnamed Road,primary_link,44.46,,yes,3,13.0082519,80.2589687,13.0079965,80.2592592
edge-23110092-249497720-12156971224,23110092,node-249497720,node-12156971224,Unnamed Road,primary,98.94,,yes,3,13.0116452,80.2591881,13.0107556,80.2591859
edge-23135520-12123541764-5468773055,23135520,node-12123541764,node-5468773055,TTK Road,secondary,15.58,,yes,2,13.0288622,80.2498159,13.0289857,80.2498838
edge-23135689-247974356-247974350,23135689,node-247974356,node-247974350,St. Mary's Road,secondary,419.84,2,yes,13,13.0293291,80.2501638,13.0291172,80.2539777
edge-23161560-247680992-248700641,23161560,node-247680992,node-248700641,Burkit Road,secondary,381.69,,no,4,13.0346157,80.2334729,13.0341555,80.2369641
edge-23161566-247074861-248700548,23161566,node-247074861,node-248700548,New Boag Road,secondary,367.96,,no,15,13.030776,80.2307615,13.0304771,80.2274518
edge-23161686-247075066-269768005,23161686,node-247075066,node-269768005,3rd Main Road,secondary,140.28,,yes,5,13.0279325,80.2328321,13.0266853,80.2330185
edge-23186225-248467716-1975496679,23186225,node-248467716,node-1975496679,Casa Major Road,secondary,203.24,,no,7,13.0710827,80.2540178,13.072213,80.2525435
edge-23186322-250363488-250737683,23186322,node-250363488,node-250737683,Aranganathan Subway,secondary,199.75,,yes,2,13.0280355,80.2261679,13.0284035,80.2243631
edge-23186335-12155112527-12155112528,23186335,node-12155112527,node-12155112528,Kodambakkam Railway Flyover,primary,622.26,,no,20,13.0540563,80.2282857,13.0538587,80.2340135
edge-23227994-1897644996-251297471,23227994,node-1897644996,node-251297471,Sabari Salai,secondary,520.55,,no,15,12.9654063,80.1914144,12.964658,80.1961207
edge-23306352-11939445529-10584841100,23306352,node-11939445529,node-10584841100,Anna Nagar 2nd Avenue,secondary,691.68,2,yes,12,13.0852877,80.224195,13.0845812,80.2181165
edge-23306358-309338813-7050673294,23306358,node-309338813,node-7050673294,Kilpauk Garden Road,secondary,557.16,,yes,19,13.082849,80.2306084,13.0832778,80.2255168
edge-23465517-254122202-254122198,23465517,node-254122202,node-254122198,Ebrahim Shahib street,primary,88.92,,yes,2,13.1027889,80.2947831,13.1020491,80.2944713
edge-23465518-2269894995-10703707772,23465518,node-2269894995,node-10703707772,Ebrahim Sahib Street,primary,772.55,,yes,23,13.1018401,80.2935208,13.1043165,80.2868814
edge-23465519-254122073-254122218,23465519,node-254122073,node-254122218,Unnamed Road,primary,250.89,,yes,11,13.102467,80.2911146,13.1045408,80.2908923
edge-23467778-254141713-254141722,23467778,node-254141713,node-254141722,Padavattamman Koil Street,secondary,200.61,,yes,7,13.1038999,80.2759489,13.1021067,80.2761249
edge-23467807-254122171-254122182,23467807,node-254122171,node-254122182,Unnamed Road,primary,163.05,,yes,7,13.1042712,80.2708892,13.102947,80.2706018
edge-23467823-254142581-7831280647,23467823,node-254142581,node-7831280647,Cemetry Road,secondary,385.83,,no,13,13.1086482,80.2880136,13.1079671,80.2914953
edge-23467825-254142644-282904899,23467825,node-254142644,node-282904899,West Madha Church Street,secondary,576.38,,no,12,13.1086868,80.2941087,13.1137014,80.2954195
edge-23467854-254122156-254122166,23467854,node-254122156,node-254122166,Basin Bridge,trunk,121.35,,yes,6,13.1037814,80.2726308,13.1043329,80.2717072
edge-23499289-4001265758-254491131,23499289,node-4001265758,node-254491131,Gangadeeshwar Koil Street,primary,344.91,,yes,9,13.0854189,80.254702,13.0823253,80.25447
edge-23499296-304918740-254491184,23499296,node-304918740,node-254491184,Ritherdon Road,secondary,850.34,,no,27,13.0793192,80.2587891,13.0869406,80.2584869
edge-23499298-249075325-254491302,23499298,node-249075325,node-254491302,Unnamed Road,secondary_link,42.6,,yes,3,13.0883726,80.2629632,13.0882537,80.263309
edge-23499970-5461093584-7680692821,23499970,node-5461093584,node-7680692821,General Hospital Road,primary,404.29,,yes,30,13.0810532,80.271122,13.0816988,80.2747888
edge-23499971-11292801148-9507057523,23499971,node-11292801148,node-9507057523,Strahans Road,primary,13.74,,yes,3,13.0982721,80.2510617,13.0981957,80.2511613
edge-23500007-254497224-254497284,23500007,node-254497224,node-254497284,D'Mellows Salai,secondary,703.09,2,no,23,13.0942828,80.2681408,13.0971913,80.262432
edge-23610928-2197415908-1975496427,23610928,node-2197415908,node-1975496427,Mahalingapuram Main Road,secondary,39.05,,no,3,13.0557772,80.2347628,13.0561275,80.234784
edge-23634681-5528559490-256035580,23634681,node-5528559490,node-256035580,Towards Adayar,primary,153.85,,yes,7,13.0151863,80.2248824,13.0150158,80.2260049
edge-23635144-256039827-313444647,23635144,node-256039827,node-313444647,Unnamed Road,primary_link,29.98,,yes,4,13.0101861,80.2149099,13.0104217,80.2149936
edge-23635145-10883767588-364873690,23635145,node-10883767588,node-364873690,Inner Ring Road,primary,426.86,,yes,9,13.0255753,80.2071224,13.0217923,80.2064911
edge-23641748-256124380-256039892,23641748,node-256124380,node-256039892,Kathipara Interchange Ramp,primary_link,199.83,,yes,17,13.0077567,80.204415,13.008284,80.2038377
edge-23641752-308313653-12159256548,23641752,node-308313653,node-12159256548,Unnamed Road,primary_link,720.2,,yes,29,13.0127185,80.2040544,13.0077549,80.2061372
edge-23641764-366083009-366083008,23641764,node-366083009,node-366083008,Guindy Bridge,primary,110.03,,yes,4,13.0102073,80.2157351,13.010055,80.2147351
edge-23642056-1121392666-256124357,23642056,node-1121392666,node-256124357,Kathipara Interchange Flyover,primary,21.12,,yes,2,13.0075844,80.2059253,13.0075831,80.2057304
edge-23642057-12159256548-1121392640,23642057,node-12159256548,node-1121392640,Anna Salai (Mount Road),primary,43.62,,yes,3,13.0077549,80.2061372,13.0078414,80.2065299
edge-23647177-30037867-30037868,23647177,node-30037867,node-30037868,Maraimalai Adigal Bridge,primary,237.83,,yes,3,13.0167311,80.2252306,13.0187266,80.2244405
edge-23648219-12625056165-3285044014,23648219,node-12625056165,node-3285044014,Tiruneermalai Main Road,secondary,1730.27,,no,43,12.9612969,80.1444023,12.9585985,80.1289934
edge-23648224-331885587-6544358299,23648224,node-331885587,node-6544358299,Gandhi Road,secondary,673.35,,yes,18,12.9300665,80.1211311,12.9303479,80.1150097
edge-23698624-7204002657-30038743,23698624,node-7204002657,node-30038743,Unnamed Road,secondary,99.22,,yes,3,13.0351943,80.2098764,13.0350316,80.2107742
edge-23698639-2250346300-277435623,23698639,node-2250346300,node-277435623,11th Avenue,secondary,371.26,,yes,12,13.0324539,80.2184352,13.0313339,80.2158956
edge-23761075-12672943579-257430050,23761075,node-12672943579,node-257430050,Mahatma Gandhi Road,secondary,826.63,2,no,17,12.995765,80.2668883,12.9966031,80.2593081
edge-23761085-310535825-1456998277,23761085,node-310535825,node-1456998277,East Coast Road,primary,1002.34,,yes,29,12.9871225,80.259824,12.9781504,80.2591494
edge-23761535-310535939-9571012328,23761535,node-310535939,node-9571012328,South Avenue,primary,362.18,,yes,7,12.984174,80.2576927,12.9874074,80.2580865
edge-23762120-1446415769-1454664539,23762120,node-1446415769,node-1454664539,Dr MGR Main Road,secondary,1448.83,,yes,31,12.9640055,80.2463933,12.9767453,80.2436317
edge-23762124-6804537842-257439279,23762124,node-6804537842,node-257439279,4th Main Road,secondary,294.65,,no,5,12.9832551,80.2575773,12.9835678,80.2548769
edge-23802569-384508842-384508847,23802569,node-384508842,node-384508847,Kilpauk Garden Road,secondary,174.76,,yes,4,13.0822956,80.2432989,13.0827274,80.2417482
edge-23802570-5455846922-4001265351,23802570,node-5455846922,node-4001265351,Harleys Road,secondary,301.69,,yes,6,13.0829009,80.2413964,13.0835159,80.2441087
edge-23802573-11822112634-11292801142,23802573,node-11822112634,node-11292801142,Cooks Road,primary,704.23,,no,18,13.1045757,80.2532302,13.0985966,80.2511085
edge-23802575-257924706-257924699,23802575,node-257924706,node-257924699,Medavakkam Tank Road,secondary,1221.82,,yes,26,13.0878017,80.2432849,13.097426,80.2420828
edge-23802576-12706519220-2485567682,23802576,node-12706519220,node-2485567682,Elephant Gate Bridge Road,secondary,163.44,,yes,11,13.0922579,80.2695173,13.0908082,80.2695244
edge-23802582-252299877-309338813,23802582,node-252299877,node-309338813,Halls Road,secondary,343.25,,yes,9,13.0819456,80.2336168,13.082849,80.2306084
edge-23802583-252299877-13982514550,23802583,node-252299877,node-13982514550,New Avadi Road,secondary,609.37,,no,17,13.0819456,80.2336168,13.0764853,80.2338014
edge-23803355-311285398-11822112636,23803355,node-311285398,node-11822112636,Stephensons Salai,secondary,458.82,2,yes,7,13.1037948,80.2573877,13.10483,80.2533631
edge-23803992-11292801142-9596798946,23803992,node-11292801142,node-9596798946,Konnur High Road,primary,1046.83,,yes,32,13.0985966,80.2511085,13.0974066,80.2421807
edge-23803995-254491199-11292801140,23803995,node-254491199,node-11292801140,Strahans Road,secondary,809.27,,no,34,13.0973747,80.2592517,13.097871,80.2518025
edge-23803997-10168025877-254497987,23803997,node-10168025877,node-254497987,Barracks Gate Salai,secondary,316.53,2,yes,9,13.0998533,80.2598315,13.0971437,80.2605066
edge-23803998-618620071-308741392,23803998,node-618620071,node-308741392,Konnur High Road,primary,1315.46,2,yes,24,13.1000537,80.227861,13.0999593,80.2161995
edge-23804005-257937748-257937788,23804005,node-257937748,node-257937788,Unnamed Road,secondary,667.16,,no,6,13.1028759,80.2301123,13.1064344,80.2252926
edge-23804006-618642002-618620077,23804006,node-618642002,node-618620077,Portious Road,secondary,314.53,,no,7,13.1025415,80.2310587,13.0997265,80.2307742
edge-23804685-6590298842-735219656,23804685,node-6590298842,node-735219656,EVR Periyar Salai,primary,1035.6,3,yes,28,13.0704619,80.1824525,13.0742621,80.1910557
edge-23885100-303284253-10918138026,23885100,node-303284253,node-10918138026,Stanley Viaduct,secondary,530.52,,yes,35,13.0813985,80.2752236,13.0772122,80.2762588
edge-23892262-11292812957-12706519220,23892262,node-11292812957,node-12706519220,Basin Bridge Road,secondary,227.64,,yes,7,13.0940109,80.2684607,13.0922579,80.2695173
edge-23892860-254497886-10277778750,23892860,node-254497886,node-10277778750,Basin Bridge Road,secondary,399.26,,no,12,13.0980788,80.2683907,13.0945124,80.2685475
edge-23892862-10209470316-10168025877,23892862,node-10209470316,node-10168025877,Pulianthope High Road,secondary,788.04,2,no,32,13.0984972,80.2668498,13.0998533,80.2598315
edge-23893950-247435504-303284388,23893950,node-247435504,node-303284388,Rajaji Salai,primary,1416.73,,yes,23,13.1009452,80.2943986,13.0888071,80.2904488
edge-23893951-258987169-7843307254,23893951,node-258987169,node-7843307254,RBI Subway,primary,178.08,,yes,5,13.0873133,80.2898644,13.0858022,80.2893365
edge-23893953-30237377-2490994956,23893953,node-30237377,node-2490994956,Unnamed Road,primary_link,251.26,,no,11,13.0826299,80.288992,13.0848685,80.2891089
edge-23895867-310503287-12067412557,23895867,node-310503287,node-12067412557,DGS Dhinakaran Road,primary,495.34,2,yes,14,13.0189973,80.2629394,13.0189591,80.2673958
edge-23914890-11939180192-259502726,23914890,node-11939180192,node-259502726,Westcott Road,secondary,177.02,,yes,7,13.0582961,80.2654679,13.0568695,80.2647517
edge-23929818-243061240-2188511233,23929818,node-243061240,node-2188511233,Karpagambal Nagar Road,secondary,193.09,,yes,5,13.0397999,80.2646004,13.0415277,80.2646986
edge-23954872-259509987-259662291,23954872,node-259509987,node-259662291,Conron Smith Road,secondary,545.53,,no,12,13.0545149,80.2578927,13.0496414,80.2574478
edge-23955543-259703179-10169019568,23955543,node-259703179,node-10169019568,Peters Road,secondary,399.38,,yes,11,13.054152,80.2615778,13.0538354,80.2652478
edge-23955544-259703176-2481982238,23955544,node-259703176,node-2481982238,Peters Road,secondary,12.57,,yes,2,13.0536332,80.266612,13.053599,80.2665014
edge-23955548-308296264-2481982260,23955548,node-308296264,node-2481982260,Sathyam Flyover,secondary,5.87,,no,2,13.0546203,80.2557807,13.0546229,80.2557266
edge-23961564-243066459-2216437870,23961564,node-243066459,node-2216437870,Avvai Shanmugam Salai,secondary,496.71,,no,15,13.0482192,80.2616175,13.0477395,80.2661695
edge-23966118-9992430912-254142547,23966118,node-9992430912,node-254142547,Thiruvottriyur High Road,secondary,911.47,,no,56,13.1108377,80.2785044,13.1147553,80.2825577
edge-23966125-254122182-11936667482,23966125,node-254122182,node-11936667482,Basin Bridge Road,primary,600.47,,yes,6,13.102947,80.2706018,13.0981696,80.2684582
edge-23970137-3967643610-343170974,23970137,node-3967643610,node-343170974,1st Avenue,secondary,258.82,,yes,6,13.0833246,80.2254031,13.0851972,80.223985
edge-23970139-10584852022-1585669045,23970139,node-10584852022,node-1585669045,Anna Arch Road,secondary,251.76,2,yes,6,13.0844994,80.2180203,13.0822372,80.2179356
edge-23970229-303283585-303283783,23970229,node-303283585,node-303283783,General Hospital Road,primary,68.28,,yes,3,13.082277,80.2817846,13.082256,80.2811546
edge-23970230-5306843094-5306843086,23970230,node-5306843094,node-5306843086,Jawaharlal Nehru Road (100 Feet Road),primary,328.79,,yes,6,13.0824362,80.1984989,13.0853737,80.198481
edge-24240271-357936503-262454145,24240271,node-357936503,node-262454145,MTC Busway,primary,25.14,,no,2,13.0699825,80.2050666,13.0697923,80.2049411
edge-24338793-243323039-243323151,24338793,node-243323039,node-243323151,Devanathan Street,secondary,319.95,,yes,10,13.0266051,80.2633621,13.029395,80.2640795
edge-24730640-268789823-257532684,24730640,node-268789823,node-257532684,Gandhi Mandapam Flyover,primary,17.22,1,yes,2,13.0066507,80.2427147,13.0067102,80.2428614
edge-24730725-268790432-13930834677,24730725,node-268790432,node-13930834677,Sardar Patel Road,primary,226.01,2,yes,3,13.0073267,80.2380038,13.0069628,80.2400558
edge-24888589-270432730-310729244,24888589,node-270432730,node-310729244,Napier Bridge,primary,155.34,,yes,2,13.0694322,80.2846947,13.0680729,80.2843636
edge-25116883-370641082-30142983,25116883,node-370641082,node-30142983,East Coast Road,primary,3379.68,2,yes,93,12.8673993,80.2431294,12.8971859,80.2473217
edge-25116982-273459877-5455958138,25116982,node-273459877,node-5455958138,Unnamed Road,primary,1033.2,2,yes,14,12.9009094,80.2278862,12.9016416,80.2183926
edge-25368569-7825217424-9577445276,25368569,node-7825217424,node-9577445276,Thiruvottriyur – Ponneri – Panchetty Road,primary,201.31,,yes,3,13.1527095,80.2886284,13.1534648,80.2869387
edge-25369014-289177114-2271733895,25369014,node-289177114,node-2271733895,Suryanarayana Street,primary,969.68,,yes,22,13.1146421,80.2924966,13.1232066,80.2941382
edge-25376903-14105314720-276597104,25376903,node-14105314720,node-276597104,70Ft Road,secondary,491.56,,yes,5,13.1176387,80.2285012,13.1133749,80.2273029
edge-25376940-276597769-276597128,25376940,node-276597769,node-276597128,Kolathur Road,secondary,917.57,,no,29,13.1260513,80.2193333,13.1239092,80.2121874
edge-25377740-1184545494-12717753448,25377740,node-1184545494,node-12717753448,East Avenue Road,secondary,1612.02,,yes,21,13.1084881,80.1798938,13.0999643,80.1867108
edge-25377899-276611157-276611288,25377899,node-276611157,node-276611288,Bazaar Road,secondary,262.97,2,no,8,13.0877739,80.1880767,13.0854408,80.1881903
